Resort;Latitude;Longitude
Mont Villa Saguenay;48.549679;-71.652774
Mont ?douard;48.167860;-70.287781
Montjoye;45.303750;-71.934786
Morin Heights;45.898734;-74.268420
Mount Blackstrap;51.778634;-106.443706
Mount Pakenham;45.324168;-76.327119
Mount Seymour;49.363349;-122.946141
Mount Sima;60.610366;-135.046155
Mount St. Louis/Moonstone;44.625507;-79.664498
Mount Timothy Ski Society;51.915742;-121.253008
Mt Washington;49.745360;-125.113780
Mt. Baldy;49.153022;-119.236323
Mt. Cain;50.274510;-126.507706
Mt. Phoenix;49.099079;-118.596603
Murray Ridge;54.445950;-124.251870
Mystery Mountain;55.869470;-97.776999
Nakiska;50.964444;-115.112777
Nitehawk Ski Area;55.036695;-118.876184
Norway Mountain;46.649436;-83.474121
Owl?s Head;45.075168;-72.292111
Panorama Resort;50.509160;-116.030350
Pass Powderkeg Ski Hill;49.652716;-114.535361
Pin Rouge;48.215197;-65.753687
Pine Ridge;44.551791;-79.674127
Poley Mountain;45.674523;-65.365562
Powder King;55.518346;-122.797585
Powder Springs;51.010100;-118.214440
Purden;53.902655;-121.883498
Rabbit Hill Ski Area;53.379391;-113.669940
Red Mountain;49.079246;-117.821772
Revelstoke;50.997047;-118.197822
Saint Raymond;46.922674;-71.800385
Salmo Ski Area;49.185622;-117.301574
Searchmont;46.766676;-84.036140
Shames Mountain;54.499709;-128.985446
Silver Summit;53.893212;-116.567860
Silverstar;50.357700;-119.064000
Sir Sam s Ski Area;45.128539;-78.467681
Ski Ben Eoin;45.973863;-60.435367
Ski Cape Smokey;46.440667;-60.468667
Ski Chantecler;45.955685;-74.173508
Ski Gallix;46.336892;-79.432545
Ski Pine Tree;48.588944;-58.598089
Ski Timber Ridge;52.981620;-105.432900
Ski Valley Resort Minnedosa;50.317532;-99.880737
Ski Vorlage;45.645887;-75.935125
Ski Wentworth;45.610000;-63.556389
Skyloft Ski;44.028828;-79.076455
Smithers;54.780142;-127.182127
Smokey Mountain;52.976626;-66.925610
Snow Valley;53.485428;-113.555245
Springhill Winter Park;49.963106;-96.980243
St Mathieu Les Cantons;46.596365;-72.838134
St. Pac?me;47.413509;-69.943796
Stoneham;47.027933;-71.380582
Stony Mountain;50.093473;-97.206838
Sugarloaf Provincial Park;47.983430;-66.695166
Summit Lake Ski Area;50.215501;-117.722296
Sun Peaks;50.882175;-119.894228
Sunridge Ski Area;53.566938;-113.370759
Sunshine Village;51.078611;-115.782222
Table Mountain;52.812604;-108.600101
Tabor;53.938131;-122.460489
Talisman Mountain Resort;44.392800;-80.553000
Tawatinaw Valley;54.300725;-113.468429
Tobo Ski;48.591256;-72.501612
Tri-Town;47.494166;-79.734564
Troll Resort;53.067245;-121.941598
Twin Towers Ski Area - PWT SnowPark;51.638263;-108.354866
Uplands Ski Centre;43.825425;-79.439435
Val Neigette;48.365431;-68.480959
Val Saint-C?me;46.272060;-73.866826
Val d?Ir?ne;48.471385;-67.568750
Vallee Bleue Ski Center;46.027279;-74.219552
Vallee du parc;46.617433;-72.800646
Vista Ridge;56.667088;-111.131548
Wapiti Valley;53.212994;-104.455473
Watson Lake Ski Hill;60.110170;-128.753273
Whispering Pines;56.782791;-119.405321
Whistler - Blackcomb;50.108333;-122.942500
White Hills Resort;48.162860;-54.047187
Whitewater;49.444500;-117.148000
Antillanca;-40.762861;-72.167816
Antuco;-37.404798;-71.341701
Cerro El Fraile;-45.607957;-71.965247
Cerro Mirador;-53.297582;-71.236575
Chapa Verde;-34.091907;-70.466286
Corralco;-38.371375;-71.586766
El Arpa;-32.816667;-70.350000
El Colorado;-33.349999;-70.249999
Farellones;-33.349741;-70.311761
La Parva;-33.336767;-70.292244
Lagunillas;-33.517593;-69.958358
Las Araucarias;-38.696560;-71.757669
Lonquimay;-38.388075;-71.579889
Nevados de Chilll?n;-36.839240;-71.417484
Portillo;-32.836471;-70.129509
Puc?n;-39.416666;-71.933333
Valle Nevado;-33.354140;-70.249446
Volc?n Osorno;-41.107301;-72.508992
Alshan;47.169555;119.950182
Anbo Ski Resort;39.813291;122.287370
Badaling;40.348004;115.950556
Baiyun International Ski Resort;43.445301;87.480898
Beidahu;43.414026;126.626530
Beijing Snow World Ski Park;40.271264;116.231166
Beishan Snow Big World;44.619505;129.620889
Cuiyunshan (Cuiyunshan Huaxuechang);40.945498;115.200905
Dolomiti Mountain Resort;40.942796;115.204546
Dongbeiya;42.045213;123.713093
Dragon Bay Seashore Ski Resort;40.659064;120.657596
Emeishan Ski Resort;29.521787;103.366928
Huaibei Ski Resort;40.445089;116.653544
Huishan;29.283333;120.800000
Jade Dragon Snow Mountain;27.103428;100.193738
Jihua Changshou;45.616972;127.251492
Jilin Beishan - Beishan Snow and Ice World;43.811483;126.621668
Jindinghu Ski Resort;40.381693;116.947969
Jingyuetan;43.778642;125.452859
Jinxiangshan;36.473716;117.110312
Jundushan Ski Resort;40.220619;116.210503
Lian Hua Shan Ski Resort;22.973379;113.478996
Lingshan Mountain;40.031032;115.457382
Linhai Ski Resort;38.987277;121.393680
Longfengshan - Long Fengshan;44.783300;127.550000
Longzhu Ski Resort - Erlongshan;45.745927;127.403930
Mei Hua Shan;47.805452;128.925247
Minghu;39.496375;121.800506
Mudanfeng;44.477000;129.763000
Mulan (Saihanba);30.785236;103.619252
NanShan;40.332728;116.858654
Pearl Far East International / Woniuhu;50.293148;127.327534
Ping Tian;24.808333;114.071944
Pinggu Liyuan;40.226659;117.265628
Saibei;40.845302;115.371088
Shennongjia Ski Resort;31.744970;110.675733
Shijinglong Ski Resort;40.522137;115.966243
Shuangfeng Tree Farm;43.540043;130.991535
Silk Road International (Sichouzhilu);43.443974;87.412881
Songhauhau Qingshan;43.752879;126.712373
Songhua Lake Ski Resort;43.896289;125.325766
Songhuahu;43.685255;126.624186
Suifen River National Forest Park;44.373965;130.975041
Taoshan;45.767829;131.017864
Tianshan Mountain Ski Resort - Tian Shan;42.000000;80.000000
Wanlong Ski Resort;40.967861;115.391979
WeiSiTe Happy Town Ski Resort;43.841569;87.670398
Wujimi Ski Resort;45.209906;127.858690
Wuofo Mountain Ski Resort;46.672324;130.036097
Xiling Snow Mountain;30.614083;103.174109
XueLianShan Golf Lighted Ski Resort;43.848516;87.689105
Xueshijie Ski Resort;39.619850;115.865233
Yabuli;44.781456;128.450208
Yabuluoni Ski Resort - Yuyang;40.079886;117.147378
Yueliang Wan (Moon Bay) Ski Resort;45.803260;126.535245
Yunfoshan Ski Resort;40.473681;116.874871
Yunju Ski Resort;39.598959;115.770879
Yuquan;40.75473;111.67431
Yuyang Ski Resort;40.079886;117.147378
Begovo Razdolje;45.285999;14.900095
Bjelolasica;45.238985;15.065499
Mrkopalj - ?elimba?a;45.310846;14.842856
Petehovac;45.379958;14.821074
Platak;45.426923;14.569836
Plitvi?ka Jezera Skilift;44.871354;15.630134
Rudnik - Tr??e;43.515000;16.857500
Sljeme;45.904572;15.946984
Trodos;34.936844;32.864898
?enkovice - Ski are?l Bukov? hora;50.013865;16.695057
?ern? ???ka;50.778106;15.330149
?ervenohorsk? sedlo;50.125213;17.153661
?eka;49.621372;18.575173
Aldrov ? V?tkovice;50.682098;15.519700
Bedrichov;50.793024;15.144825
Belveder ?elezn? Ruda;49.143004;13.245953
Benecko;50.660131;15.550850
Bou???k;50.689441;13.716869
Bo?? Dar;50.372010;12.912360
Bublava;50.372736;12.512159
Cerna hora - Janske L?zne;50.633158;15.768916
Cerny Dul;50.637288;15.706221
Chotou?;49.900000;14.516667
Czantoria;49.666667;18.800000
Desn? Parlament;50.756690;15.316521
