Resort;Country;Latitude;Longitude
Georgian Peaks;Canada;44.524385;-80.378636
Glen Eden;Canada;43.504861;-79.943819
Gray Rocks;Canada;46.163247;-74.586954
Grouse Mountain;Canada;49.371130;-123.098800
Gwynne Valley Ski Area;Canada;52.986594;-113.218347
Harper Mountain;Canada;50.730370;-120.161140
Heights of Horseshoe;Canada;44.550151;-79.678050
Hemlock Valley;Canada;49.380033;-121.935738
Heyden Ski Hill;Canada;46.642064;-84.308953
Hidden Valley;Canada;49.625021;-110.341674
Hidden Valley Highlands;Canada;45.357363;-79.131528
Hockley Valley;Canada;43.978672;-80.050592
Holiday Mountain;Canada;49.237174;-98.694617
Horseshoe;Canada;44.550109;-79.678113
Kamiskotia;Canada;48.534425;-81.541547
Kanasuta;Canada;48.174872;-79.402800
Kicking Horse;Canada;51.297145;-117.049852
Kimberley;Canada;49.670030;-115.978100
Kinosoo Ridge;Canada;54.440506;-110.017452
La R?serve;Canada;46.283851;-74.186211
La Tuque. Centre Municipal du Ski;Canada;47.434465;-72.775949
Lake Louise;Canada;51.420277;-116.184722
Lakeridge Resort;Canada;44.026315;-79.063937
Laurentian Ski Hill;Canada;46.338187;-79.433798
Le Massif;Canada;47.279341;-70.611364
Le Relais;Canada;46.942073;-71.299368
Le Valinou?t;Canada;48.571310;-71.011565
Little Smoky Ski Area;Canada;54.737407;-117.171421
Loch Lomond;Canada;48.291913;-89.345761
Manning Park;Canada;49.064019;-120.785115
Mansfield Ski;Canada;44.200588;-80.054237
Marble Mountain;Canada;48.946800;-57.832563
Marmot Basin-Jasper;Canada;52.799700;-118.082000
Martock;Canada;44.934431;-64.170292
Massif du Sud;Canada;46.684921;-70.375731
Medicine Lodge Ski Area;Canada;52.465355;-114.057296
Mike Wiegele Heli-Ski Resort;Canada;52.107120;-119.310340
Misery Mountain Ski Area;Canada;56.253271;-117.262423
Mission Ridge;Canada;50.755266;-103.781661
Mont Avila;Canada;45.883331;-74.133330
Mont Blanc;Canada;46.107020;-74.487385
Mont B?lu;Canada;48.320362;-70.837183
Mont Calm;Canada;46.040961;-73.830598
Mont Carmel;Canada;46.495314;-72.631706
Mont Cascades;Canada;45.588022;-75.847365
Mont Castor;Canada;48.767514;-67.544948
Mont Chalco;Canada;49.963002;-74.224982
Mont Comi;Canada;48.467458;-68.194434
Mont Farlagne;Canada;47.413630;-68.378567
Mont Fortin;Canada;48.433109;-71.226251
Mont Gabriel;Canada;45.920977;-74.146209
Mont Garceau;Canada;46.338277;-74.214191
Mont Gleason;Canada;45.927830;-71.951824
Mont Glen;Canada;45.205604;-72.452304
Mont Grand-Fonds;Canada;47.772147;-70.106380
Mont Habitant;Canada;45.879406;-74.172610
Mont Lac Vert;Canada;46.213586;-74.584841
Mont Olympia;Canada;45.914616;-74.117374
Mont Orford;Canada;45.317331;-72.222233
Mont Orignal;Canada;46.410631;-70.585006
Mont Rigaud;Canada;45.303871;-71.932297
Mont Saint-Bruno;Canada;45.557149;-73.333928
Mont Saint-Sauveur;Canada;45.884870;-74.144669
Mont Sainte-Anne;Canada;47.074389;-70.905762
Mont Shefford;Canada;45.393936;-72.719127
Mont Ste-Marie;Canada;47.073542;-70.905418
Mont Sutton;Canada;45.104389;-72.561963
Mont Ti-Basse;Canada;49.210630;-68.163604
Mont Tremblant;Canada;46.210114;-74.586644
Mont Villa Saguenay;Canada;48.549679;-71.652774
Mont ?douard;Canada;48.167860;-70.287781
Montjoye;Canada;45.303750;-71.934786
Morin Heights;Canada;45.898734;-74.268420
